HIDDEN LAYER COUNT h VARIATION
==============================

h = 1
-----
Step	NTK metric	Parameter perturbation L2 norm
0	0.022743960630063922	0.023089502142014429
1	0.022871340974886523	0.022860585050676899
2	0.022813562721594183	0.022755145071754961
3	0.021608236520964219	0.021530292757853887
4	0.020450868947398781	0.020366609323205068
5	0.018843585368089499	0.018758494926134427
6	0.017735703007510928	0.017646249746716261
7	0.01525727222361728	0.015169918184587131
8	0.014082224517878328	0.014008045563117494
9	0.01264036621842235	0.012569579460890882
10	0.011698559062203295	0.011612643081765862
11	0.010629955076855824	0.010575138578652806
12	0.0090645268492313136	0.009023831716238646
13	0.008658069747172481	0.0086131446255325161
14	0.007302269692380986	0.0072669394189103197
15	0.0068524835753815683	0.0068240470261312913
16	0.0059425367630492748	0.005909790990750321
17	0.0050816914714171407	0.0050581394134115963
18	0.0047299454678605968	0.0047119006129859821
19	0.0041868568672713824	0.0041696686949076163
20	0.0035271536036174528	0.0035080664770037523
21	0.0030914723488027068	0.0030777060609910407
22	0.0028693043936750887	0.0028583028599308614
23	0.0023714918076230551	0.0023648828888831403
24	0.0020371951485953707	0.0020299424113795336
25	0.0017739819390502204	0.0017700262577658352
26	0.0016423771645529012	0.0016384376832035603
27	0.0016544767216789616	0.0016495173239123599
28	0.0013536114252744869	0.0013501944133347057
29	0.0011674202751182292	0.0011649607995271481
30	0.00091209643727390918	0.00091036401313184727
31	0.00096124033528506743	0.00095944628889885111
32	0.00076783172357163584	0.00076665269763985576
33	0.00073066985981182307	0.00072944542878171652
34	0.00064684792462436653	0.00064565280287646565
35	0.00064608692219998189	0.00064513425442234735
36	0.00060556070682934223	0.00060468575578608279
37	0.00045038605504455105	0.00044958316088578807
38	0.00045467896676030465	0.00045410776064162448
39	0.00034763913249580888	0.00034720011685303201
40	0.00035499251746567376	0.00035456119969613179
41	0.0002434396103654919	0.00024320775999270248
42	0.00021134104976818294	0.00021110011773384137
43	0.00023836787174750986	0.00023799557043631135
44	0.00015690584319404078	0.00015673394568399836
45	0.00026856361668830446	0.00026831441043663836
46	0.00015110728711013508	0.00015100597907106205
47	0.00022587609714751688	0.00022560949008260415
48	0.00016858667632437246	0.00016845421483398162
49	0.00019595195699531696	0.00019577296753142733

h = 3
-----
Step	NTK metric	Parameter perturbation L2 norm
0	0.023651287408840642	0.023663669226140195
1	0.022762695734645622	0.022709790280947491
2	0.021576856019404289	0.02148615224541742
3	0.02094362154054108	0.020815000776220116
4	0.018889077401761045	0.018740781986531944
5	0.017980623512598548	0.017816610800267071
6	0.016521378076263638	0.016351871859065444
7	0.014463830227989027	0.014310316644194149
8	0.013604346161178893	0.013452435096453301
9	0.011790311379460738	0.011657105603733089
10	0.010460340460341222	0.0103450129272289
11	0.009804535530876457	0.009696855883945971
12	0.0083241803273611525	0.0082353573507104802
13	0.0071208436251948004	0.0070475731634071573
14	0.0068751513017738797	0.0068054750617718021
15	0.0058246483662562354	0.005769332487093398
16	0.0050418065090473418	0.0049962479020739777
17	0.0043474994102305903	0.0043105265491734709
18	0.0036586379684846321	0.0036295498205962868
19	0.0033534579015384522	0.003328292737379493
20	0.00335230930990741	0.0033275492335869006
21	0.0023820207360331497	0.0023668655277642487
22	0.0019988349520432651	0.0019869745370868566
23	0.0018358771808481694	0.0018254810583121417
24	0.0015970554771388284	0.0015886245344167776
25	0.0013308519838162115	0.0013244301967807468
26	0.0013857955666014433	0.0013790677723495145
27	0.0010116273191147515	0.0010073588531941836
28	0.0007511931802083446	0.0007484923370817577
29	0.00067326458752552446	0.00067096144478793356
30	0.00062896116316851704	0.00062692323732566426
31	0.00053352941155220684	0.00053193378048325957
32	0.00055977871897025522	0.00055810496592030763
33	0.00049266884807654913	0.00049129754828492887
34	0.00047242478065182328	0.00047118016367305295
35	0.00026901012394817418	0.00026844510786095684
36	0.00029776500723718824	0.00029713799346193462
37	0.0003527121812807166	0.00035192819774933307
38	0.00033339057834959459	0.00033271411739325534
39	0.00043132067761355555	0.00043036905149218345
40	9.5217767869926206e-05	9.5105247154227699e-05
41	0.00016292051156971854	0.00016267632892225112
42	0.00017775744758243104	0.00017751505063430832
43	0.00035330377145666083	0.00035267585176812098
44	0.00012650949528994265	0.00012635987367132069
45	0.00021444724219224934	0.00021415626621899261
46	9.9158172182572035e-05	9.9048657967460143e-05
47	0.00019336047641962595	0.00019312732840329273
48	0.00013192116884480431	0.00013178349288924017
49	6.5334915579597037e-05	6.5280265179052923e-05

h = 5
-----
Step	NTK metric	Parameter perturbation L2 norm
0	0.026623297172588253	0.026582923329320648
1	0.025608966128977145	0.025516278555177657
2	0.024608327674034439	0.024472708132963237
3	0.02243629470028724	0.022281856716964504
4	0.020063184819885532	0.019904548767336581
5	0.018418629576024942	0.018258781493675644
6	0.015584876672445458	0.015446807635097797
7	0.015026663875668242	0.014884592771926631
8	0.012408135500423828	0.012294123222326063
9	0.011060007336680978	0.010959180286666878
10	0.0093321522967128798	0.0092510736228765614
11	0.0080293362290177681	0.0079627019669344309
12	0.0068090945820516932	0.0067557260886289125
