EMPIRICAL SAMPLE COUNT n VARIATION
==================================

n = 1
-----
Step	NTK metric	Parameter perturbation L2 norm
13	0.0074580619886757266	0.0073911038908933656
14	0.0068209105719520269	0.0067605059509798409
15	0.0058411723870617285	0.0057925742333673766
16	0.0050722904723882745	0.0050320659229825294
17	0.0043788186280443939	0.0043460285861253384
18	0.0036445477605200755	0.0036193327418353872
19	0.0034145686276651713	0.0033915520170171034
20	0.0027014353481400904	0.0026851229371606328
21	0.0022868708594566923	0.002274047148479454
22	0.0020607547806144521	0.0020497309602061785
23	0.0017214247873977599	0.0017130398415702618
24	0.001434430936801684	0.0014279878599689261
25	0.0011344293092419282	0.0011298749139435746
26	0.0010922253218467026	0.0010879886921401185
27	0.00083304816596042799	0.00083020476477138768
28	0.00071428048934596118	0.00071204721860819876
29	0.0006871887909168312	0.00068514127263954658
30	0.00048232104753401033	0.00048106013841334465
31	0.00050751341907717077	0.00050618645176595575
32	0.00037019448958995312	0.00036936088410646409
33	0.0003067358691797961	0.00030611541517247255
34	0.00022893885319484055	0.00022852960273692669
35	0.00031589313668987191	0.00031526201569565058
36	0.00018738288119355968	0.00018708356610251407
37	0.00017454493818811834	0.00017428622700447257
38	0.00015608567271694815	0.00015587028750027539
39	9.0546680712031986e-05	9.0448143591107265e-05
40	6.9168724870972029e-05	6.9102217651812429e-05
41	0.00011669473137058484	0.00011656023041956713
42	0.0001418427229074094	0.00014165764642091948
43	6.9083076005323511e-05	6.9023265019175177e-05
44	6.4255862388398256e-05	6.419974394666317e-05
45	5.8206712131604382e-05	5.8165224523476989e-05
46	7.4701257584751802e-05	7.4639926487328088e-05
47	3.7245902696728998e-05	3.7221236764490631e-05
48	3.7962891112783905e-05	3.7939769639673597e-05
49	7.9471329949351653e-05	7.9398409768893636e-05


n = 10
------
Step	NTK metric	Parameter perturbation L2 norm
0	0.027380949039386891	0.027388522320817153
1	0.02729360943131956	0.02724836291387556
2	0.024709623052602159	0.02462566153292061
3	0.022439617334612305	0.022331773086530435
4	0.021658229764780823	0.021525370911252648
5	0.018919357175528173	0.018788404280473327
6	0.016960938771175826	0.016832709588493144
7	0.015053810987541993	0.014933915780631878
